DESTINATION,URL
Abame,http://interimaginarydepartures.com/abame/
Airstrip One,http://interimaginarydepartures.com/airstripone/
All-World,http://interimaginarydepartures.com/allworld/
Alphabet Island,http://interimaginarydepartures.com/alphabetisland/
Anarres,http://interimaginarydepartures.com/anarres/
Ankh-Morpork,http://interimaginarydepartures.com/ankhmorpork/
Arrakis,http://interimaginarydepartures.com/arrakis/
Asteroid B-612,http://interimaginarydepartures.com/asteroidb612/
Atlantis,http://interimaginarydepartures.com/atlantis/
Avonlea,http://interimaginarydepartures.com/avonlea/
Azeroth,http://interimaginarydepartures.com/azeroth/
Blazing-World,http://interimaginarydepartures.com/blazingworld/
Bottle City of Kandor,http://interimaginarydepartures.com/bottlecityofkandor/
Brigadoon,http://interimaginarydepartures.com/brigadoon/
Busytown,http://interimaginarydepartures.com/busytown/
Camazotz,http://interimaginarydepartures.com/camazotz/
Camelot,http://interimaginarydepartures.com/camelot/
Candy Land,http://interimaginarydepartures.com/candyland/
Celesteville,http://interimaginarydepartures.com/celesteville/
Chewandswallow,http://interimaginarydepartures.com/chewandswallow/
ChiChi Raha,http://interimaginarydepartures.com/chichiraha/
Cimmeria,http://interimaginarydepartures.com/cimmeria/
Cittagazze,http://interimaginarydepartures.com/cittagazze/
City of Brass,http://interimaginarydepartures.com/cityofbrass/
City of Glass,http://interimaginarydepartures.com/cityofglass/
Cloudcuckooland,http://interimaginarydepartures.com/cloudcuckooland/
Co-pern-ica,http://interimaginarydepartures.com/copernica/
Crusoe’s Island,http://interimaginarydepartures.com/crusoesisland/
Cyberspace,http://interimaginarydepartures.com/cyberspace/
Delmak-O,http://interimaginarydepartures.com/delmako/
Delta-Quadrant,http://interimaginarydepartures.com/deltaquadrant/
Digitopolis,http://interimaginarydepartures.com/digitopolis/
Equestria,http://interimaginarydepartures.com/equestria/
Erewhon,http://interimaginarydepartures.com/erewhon/
Fantastica,http://interimaginarydepartures.com/fantastica/
Fillory,http://interimaginarydepartures.com/fillory/
Flatland,http://interimaginarydepartures.com/flatland/
Fraggle Rock,http://interimaginarydepartures.com/fragglerock/
Freedonia,http://interimaginarydepartures.com/freedonia/
Galactic Sector ZZ9 Plural Z Alpha,http://interimaginarydepartures.com/galacticsector/
Gallifrey,http://interimaginarydepartures.com/gallifrey/
Genovia,http://interimaginarydepartures.com/genovia/
Gethen,http://interimaginarydepartures.com/gethen/
Gormenghast Castle,http://interimaginarydepartures.com/gormenghastcastle1/
Gramble-Blamble,http://interimaginarydepartures.com/gramble-blamble/
Grover’s Corners,http://interimaginarydepartures.com/groverscorners/
Herland,http://interimaginarydepartures.com/herland/
Hill Valley,http://interimaginarydepartures.com/hillvalley/
Hogwarts,http://interimaginarydepartures.com/hogwarts/
Howls Moving Castle,http://interimaginarydepartures.com/howlsmovingcastle/
Hundred Acre Wood,http://interimaginarydepartures.com/hundredacrewood/
Hyperborea,http://interimaginarydepartures.com/hyperborea/
Isla Nublar,https://interimaginarydepartures.com/islanublar/
Lilliput,http://interimaginarydepartures.com/lilliput/
Macondo,http://interimaginarydepartures.com/macondo/
Metaverse,http://interimaginarydepartures.com/metaverse/
Metropolis,http://interimaginarydepartures.com/metropolis/
Middle-earth,http://interimaginarydepartures.com/middleearth/
MoodyLand,http://interimaginarydepartures.com/moodyland/
Moomin Valley,http://interimaginarydepartures.com/moominvalley/
Moosylvania,http://interimaginarydepartures.com/moosylvania/
Mount Kunlun,http://interimaginarydepartures.com/mountkunlun/
Mushroom Kingdom,http://interimaginarydepartures.com/mushroomkingdom/
Na-Nupp,http://interimaginarydepartures.com/nanupp/
Narnia,http://interimaginarydepartures.com/narnia/
Neo Tokyo,http://interimaginarydepartures.com/neotokyo/
Nessus,http://interimaginarydepartures.com/nessus/
Neverland,http://interimaginarydepartures.com/neverland/
Neverwhere,http://interimaginarydepartures.com/neverwhere/
New Crobuzon,http://interimaginarydepartures.com/newcrobuzon/
Night Vale,http://interimaginarydepartures.com/nightvale/
NightKitchen,http://interimaginarydepartures.com/nightkitchen/
Olinka,http://interimaginarydepartures.com/olinka/
Oomza Uni,http://interimaginarydepartures.com/oomzauni/
Orbitsville,http://interimaginarydepartures.com/orbitsville/
Panem,http://interimaginarydepartures.com/panem/
Pegana,http://interimaginarydepartures.com/pegana/
Pellucidar,http://interimaginarydepartures.com/pellucidar/
Pemberley,http://interimaginarydepartures.com/pemberley/
Pern,http://interimaginarydepartures.com/pern/
Peyton Place,http://interimaginarydepartures.com/peytonplace/
Rhyonon,http://interimaginarydepartures.com/rhyonon/
Sam-sam-sa-mara,http://interimaginarydepartures.com/samsamsamara/
San Junipero,http://interimaginarydepartures.com/sanjunipero/
Shangri-La,http://interimaginarydepartures.com/shangrila/
SimCity,http://interimaginarydepartures.com/simcity/
Slumberland,http://interimaginarydepartures.com/slumberland/
Snark Island,http://interimaginarydepartures.com/snarkisland/
Solaris,http://interimaginarydepartures.com/solaris/
Tatooine,http://interimaginarydepartures.com/tatooine/
The Dreamlands,http://interimaginarydepartures.com/thedreamlands/
The Emerald City,http://interimaginarydepartures.com/theemeraldcity/
The Island of Myst,http://interimaginarydepartures.com/theislandofmyst/
The Matrix,http://interimaginarydepartures.com/thematrix/
The Stillness,http://interimaginarydepartures.com/thestillness/
Themyscira,http://interimaginarydepartures.com/themyscira/
Tlon,http://interimaginarydepartures.com/tlon/
Toad Hall,http://interimaginarydepartures.com/toadhall/
Tralfamadore,http://interimaginarydepartures.com/tralfamadore/
Trantor,http://interimaginarydepartures.com/trantor/
Treasure Island,http://interimaginarydepartures.com/treasureisland/
Trisolaris,http://interimaginarydepartures.com/trisolaris/
Trude,http://interimaginarydepartures.com/trude/
Truffula Valley,http://interimaginarydepartures.com/truffulavalley/
Villa Villekulla,http://interimaginarydepartures.com/villavillekulla/
Wakanda,http://interimaginarydepartures.com/wakanda/
Waterdeep,http://interimaginarydepartures.com/waterdeep/
Watership Down,http://interimaginarydepartures.com/watershipdown/
Westeros,http://interimaginarydepartures.com/westeros/
Wonderland,http://interimaginarydepartures.com/wonderland/
Yoknapatawpha County,http://interimaginarydepartures.com/yoknapatawpha-county/
Zembla,http://interimaginarydepartures.com/zembla/